SenPai Scanner — live results
Started: 2026-06-05 01:23:49
Updated: 2026-06-05 01:24:50
Plan: Phase 1 connectivity, then Phase 2 xray validation

=== Phase 1 — connectivity (661 healthy / 1758 probed) ===

  ENDPOINT                   LOSS    AVG(ms)      COLO  STATUS
  ────────────────────────────────────────────────────────────────
  172.67.189.23:443          0.0%     292.00  MXP       healthy
  188.114.97.104:443         0.0%     293.00  MXP       healthy
  104.21.14.122:443          0.0%     293.00  MXP       healthy
  104.21.200.185:443         0.0%     293.00  MXP       healthy
  104.21.101.28:443          0.0%     293.00  MXP       healthy
  104.21.84.5:443           33.3%     294.00  MXP       healthy
  188.114.96.54:443          0.0%     294.00  MXP       healthy
  188.114.97.214:443         0.0%     296.00  MXP       healthy
  188.114.97.99:443          0.0%     296.00  MXP       healthy
  188.114.99.59:443         33.3%     297.00  MXP       healthy
  188.114.96.139:443         0.0%     297.00  MXP       healthy
  104.21.84.8:443            0.0%     299.00  MXP       healthy
  188.114.97.98:443          0.0%     300.00  MXP       healthy
  104.21.84.9:443            0.0%     300.00  MXP       healthy
  104.21.78.76:443           0.0%     300.00  MXP       healthy
  104.21.84.7:443            0.0%     301.00  MXP       healthy
  188.114.99.62:443          0.0%     302.00  MXP       healthy
  188.114.96.39:443          0.0%     302.00  MXP       healthy
  188.114.97.251:443         0.0%     302.00  MXP       healthy
  188.114.97.100:443         0.0%     302.00  MXP       healthy
  188.114.99.57:443          0.0%     303.00  MXP       healthy
  104.21.198.206:443         0.0%     304.00  MXP       healthy
  104.21.14.126:443          0.0%     304.00  MXP       healthy
  188.114.99.61:443          0.0%     305.00  MXP       healthy
  188.114.97.216:443         0.0%     305.00  MXP       healthy
  104.21.14.128:443          0.0%     306.00  MXP       healthy
  172.67.189.21:443          0.0%     306.00  MXP       healthy
  104.21.198.205:443         0.0%     306.00  MXP       healthy
  188.114.97.253:443         0.0%     306.00  MXP       healthy
  104.21.200.186:443        33.3%     307.00  MXP       healthy
  172.66.207.190:443         0.0%     307.00  MXP       healthy
  104.21.53.197:443          0.0%     307.00  MXP       healthy
  172.67.242.234:443         0.0%     308.00  MXP       healthy
  188.114.97.252:443         0.0%     309.00  MXP       healthy
